	BXID_6	lotus_names
89	BX000108	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;s__Pantoea_sbxid5442
90	BX000112	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Priestia;s__Priestia_sbxid5425
91	BX000115	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter_sbxid5659
92	BX000117	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_sbxid5645
93	BX000118	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_sbxid5681
94	BX000119	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sbxid5130
95	BX000136	d__Bacteria;p__Cyanobacteria;c__Cyanobacteria_UKc;o__Oscillatoriales;f__fbxid5855;g__gbxid5855;s__gbxid5855_sbxid5855
96	BX000138	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella;s__Morganella_sbxid5197
97	BX000139	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriales_UKf;g__gbxid5844;s__gbxid5844_sbxid5844
98	BX000140	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Gammaproteobacteria_UKo;f__Gammaproteobacteria_UKo_UKf;g__gbxid5794;s__gbxid5794_sbxid5794
99	BX000141	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium_sbxid5332
100	BX000142	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerocolumna;s__Anaerocolumna_sbxid5772
101	BX000143	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter_sbxid5636
102	BX000146	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Frondihabitans;s__Frondihabitans_sbxid5668
